,feat,importance
0,content_id__answered_correctly_sm5,13.228180636894184
1,content_id__weighted_answered_correctly_sm5,9.624625512741828
2,u_prev_difftime,3.5912205855577604
3,u_corr_rate_smooth,2.8610805614637687
4,u_hist_ques_in_seq_num,2.388070506594178
5,difftime_div_in_seq_difftime_median,2.239436779205045
6,u_prev_diff_lag_time,2.028574620618566
7,u_prev_lag_diff_time,1.8958380544527667
8,u_hist_part_num_corr_rate,1.7553972478513826
9,u_hist_ques_in_seq,1.6708895450293275
10,u_in_seq_corr_rate,1.6690933197316826
11,u_hist_ques_cokm100_corr_rate,1.6646122803530583
12,ans_trans_mat_trophic_levels,1.5207647074886725
13,content_id__question_elapsed_time_sm5,1.492771720093468
14,difftime_diff_in_seq_lagtime_median,1.427575975080377
15,task_container_id_diff_abs,1.4106800026591668
16,u_hist_ans_num_from_lec,1.260517703525871
17,content_id__weighted_answered_correctly_sm5_repeat,1.220903051462125
18,u_prev_et_diff_time,1.1987717565602634
19,part__svd_0,1.1541875462346292
20,u_hist_ques_sim_prevques_incorr_min,1.1448053253173316
21,u_part_6_corr_rate,1.142643259013412
22,u_hade_div_corr_cnt,1.1411799268520277
23,u_hist_ques_incokm100_corr_rate,1.1021909379630819
24,content_id_diff_abs,0.7976114688116147
25,content_id__weighted_score_sm5_repeat,0.7279441352628809
26,u_prev_difftime_3,0.6857069881744712
27,u_cnt_in_session_short_density,0.6796115097189239
28,u_prev_difftime_4,0.670619319926901
29,corr_gsvd_3,0.6406235016236546
30,content_id__svd_3,0.6212414471521778
31,u_prev_difftime_incorr,0.5999360050168974
32,u_hist_tag_corr_rate_min,0.5974511661772027
33,u_part_1_cnt,0.5961808272493373
34,content_id__svd_4,0.5912602971208759
35,content_order_median,0.5900293155247502
36,u_prev_lagtime_2,0.5782961859138065
37,u_latest30_corr_rate,0.5547882308352675
38,w2v_0,0.5435060227220486
39,u_part_5_corr_rate,0.5228315974750088
40,u_latest10_corr_rate,0.52217336926273
41,seq2dec_w7,0.5041776255173976
42,content_id__svd_1,0.49162952031342205
43,w2v_1,0.4914164481679934
44,u_first10_corr_rate,0.4634440202189546
45,ge_dw_svd_1,0.4558950015403442
46,u_part_7_corr_rate,0.4481984935195316
47,u_hist_queskm100_corr_rate,0.44765907183409764
48,content_id__entropy__user_answer,0.4468501457799999
49,w2v_3,0.41282600274797754
50,u_hist_part_num,0.40813228231433435
51,tags_max,0.4015879827107357
52,content_id__svd_2,0.3998580022438007
53,u_hist_ques_cokm100_num,0.3997175193602945
54,u_hist_ques_sim_prevques_min,0.398663338853158
55,prior_question_elapsed_time,0.39313288762868803
56,u_prev_difftime_2,0.39102814075768705
57,user_session_end__mean_smooth,0.38040831183422297
58,u_hist_ques_sim_prevques_ans,0.37947950094334104
59,u_incorr_uans_rate,0.3632722120953016
60,u_latest5_lagtime_max,0.3555239421660198
61,tags_min,0.3506670590438918
62,u_hist_et_sum_div_cnt,0.34975576186957386
63,u_hist_lec_part_cnt,0.3485220888322423
64,u_first1day_corr_rate,0.34100237599752825
65,u_part_2_cnt,0.3388490590339014
66,u_part_3_corr_rate,0.3300110738414261
67,u_part_5_cnt,0.32240903167788204
68,content_id_tsne_0,0.3124570467715996
69,user_session_start__mean_smooth,0.3095410879373901
70,u_hist_ques_incokm100_num,0.307982771576251
71,u_hist_ques_sim_prev2ques_ans,0.30540124485470066
72,u_first_content,0.3046832122749217
73,ans_trans_mat_eigenvector_centrality,0.29856485579273057
74,w2v_4,0.29352375075659376
75,ge_dw_svd_3,0.28758356224835974
76,ge_dw_svd_0,0.28572613308679556
77,u_hist_ques_sim_prev2ques,0.2851155318493009
78,u_part_4_corr_rate,0.2823954260068853
79,u_latest10_lagtime_median,0.2810560210942019
80,content_id,0.2769150423754673
81,timestamp,0.27403308688984657
82,content_id__std_repeat,0.2734005752558071
83,u_hist_ques_sim_prevques_incorr_max,0.27068824559580434
84,u_hist_tag_num,0.26864585356563875
85,gsvd_2,0.2672972079450798
86,content_id__answered_correctly_sm5_repeat,0.2671222656448632
87,content_id__count_repeat,0.26431335108833914
88,u_hist_part_corr_num,0.2641795081105145
89,u_latest5_lagtime_median,0.2641743027435998
90,u_prev_lagtime_3,0.2611284198044933
91,u_part_2_corr_rate,0.2592293151883285
92,u_corr_rate_in_session_short,0.2592272142105002
93,ge_dw_svd_2,0.2560707123408466
94,w2v_2,0.2534966927306338
95,u_hist_tag_corr_rate_mn,0.25325036378317056
96,u_hist_sim_cid_latest_lec,0.24925007631286475
97,content_order_std,0.2467932633709292
98,u_hist_tag_corr_num_min,0.24334550371334723
99,u_hist_ques_sim_prevpart,0.2431076530420508
100,u_uans_rate_max_diff,0.2392910228592626
101,u_hade_rate,0.2386632487060765
102,difftime_div_in_seq_lagtime_median,0.23619599836529237
103,ans_trans_mat_betweenness_centrality,0.23588857975575744
104,gsvd_5,0.2343759580290341
105,ge_s2v_svd_2,0.2307735425236312
106,u_hade_corr_rate,0.22579349745058383
107,u_uans_rate,0.22576582299159478
108,u_prev_lagtime,0.22115362940264305
109,ge_s2v_svd_4,0.22058726445180135
110,u_latest5_et_mn,0.2192364833020448
111,u_part_6_cnt,0.21822282554755232
112,ge_s2v_svd_1,0.21819848294048305
113,content_id_tsne_1,0.21730235460281158
114,u_latest10_et_max,0.2164027427267154
115,u_hist_tag_num_corr_rate,0.21306280669778768
116,u_hist_part_sim_prevques_mean,0.20980651212076745
117,ge_s2v_svd_3,0.2082489226832863
118,u_cnt_in_session_short,0.19786194467617066
119,u_hist_queskm100_num,0.19540655224915512
120,u_latest10_et_mn,0.1950784042134068
121,u_part_7_cnt,0.19177375582676387
122,u_hist_sim_cid_latest_lec_part,0.18617690782393576
123,u_hist_lec_type_2_cnt,0.18498662156868087
124,ge_s2v_svd_0,0.18346871332059403
125,u_first1day_cnt,0.18220929965758698
126,u_hist_ques_sim_prevques,0.18131105944106388
127,u_first1week_cnt,0.1808550681668396
128,u_part_1_corr_rate,0.1745355245634926
129,u_hist_et_sum_div_corr_cnt,0.17034676727094805
130,task_container_id,0.1671355752021025
131,u_hist_ques_sim_prevques_max,0.16460086793637563
132,u_hist_part_sim_prevques_min,0.1620379455111323
133,u_in_seq_et_max,0.16119935177327419
134,u_latest5_difftime_median,0.15268624031642594
135,u_incorr_uans_rate_max_diff,0.15207508282943932
136,u_hist_part_sim_prev2ques_ans,0.15100400815263404
137,u_latest30_corr_rate_diff_all,0.1486696438356437
138,u_hist_part_sim_prevques_ans,0.14320295237241318
139,u_hist_tag_rank_sum,0.14256488478148077
140,u_first1week_corr_rate,0.14199666852237236
141,u_hist_ques_sim_prev3ques_ans,0.14057296821980783
142,u_hist_tag_rank_min,0.1392347472716237
143,u_hist_part_sim_prevques_max,0.13188859631994346
144,u_latest10_difftime_median,0.12568665726553047
145,u_latest10_corr_rate_diff_all,0.12431756093186963
146,u_part_3_cnt,0.12331788470797521
147,u_hist_ques_sim_prevpart_ans,0.11512905243888887
148,u_hist_ques_sim_prevques_incorr_mean,0.11479915460157389
149,u_hist_part_sim_prevques_incorr_max,0.11181734014400756
150,u_hist_lec_type_1_cnt,0.1108888843994502
151,u_hist_ques_sim_prev4ques,0.11003514603849239
152,u_part_4_cnt,0.10995230596400864
153,u_hist_part_sim_prevques,0.10994841527376785
154,u_hist_part_sim_prevques_incorr_min,0.10913491794432514
155,u_hist_ques_sim_prev3ques,0.10763110994021356
156,u_hist_ques_sim_prevques_mean,0.09957822387806974
157,u_hist_ques_sim_prev2part_ans,0.09795052759556076
158,seq2dec_w3,0.0706608516529779
159,u_hist_part_sim_prevques_incorr_mean,0.06966297072483921
